year,month,weekofyear,epidemic,total_cases,epidemic_duration,bc_total_cases,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
2001,12,52,0,1.0,0,9.99996186681e-06,-0.1800857,0.1931143,0.03115172,-0.10269713,296.910857143,1.914285714,297.211428571,-1.86,294.2,10.7,96.2371428572,34.54,18.9657142857,245243.31694,3.275,1.21241600241,-1.5,127.8,59.52
2002,1,1,0,4.0,0,1.64156082859,-0.1800857,0.1931143,0.0567552,-0.10269713,297.164571429,1.914285714,297.211428571,-2.04,294.2,0.16,96.2371428572,34.54,18.9657142857,157927.584902,3.275,1.30326634461,-1.5,130.0,59.52
2002,1,2,0,11.0,0,3.23037046514,-0.1800857,0.1931143,0.0838257,-0.10269713,297.164571429,3.4,297.211428571,-2.04,294.4,0.16,96.2371428572,34.54,18.9657142857,224645.655529,3.4166666667,1.31327600644,-1.5,129.2,59.52
2002,1,3,1,16.0,1,3.9226526171,-0.1800857,0.14565,0.0838257,-0.10269713,297.425714285,3.4,297.211428571,-2.04,294.4,0.16,96.2371428572,22.77,18.9657142857,307124.253695,3.4166666667,1.36611634461,-1.5,130.0,59.52
2002,1,4,0,23.0,0,4.65447287317,-0.1800857,0.14565,0.0838257,-0.10034786,298.018,3.4,297.211428571,-2.04,294.4,10.7,95.4721428572,22.77,18.9657142857,402924.47962,3.6733333333,1.35128731381,-1.5,130.0,59.52
2002,1,5,0,12.0,0,3.38568846431,-0.2373714,0.14565,0.0838257,-0.164684965,297.298857143,3.4,297.211428571,-2.26,294.4,10.7,96.3114285714,22.77,18.9657142857,285242.474934,3.6733333333,1.4614485457,-1.5,129.8,104.79
2002,2,6,0,14.0,0,3.66885124355,-0.2373714,0.14565,0.0838257,-0.164684965,296.913428572,3.4,297.211428571,-2.26,294.4,12.96,96.4542857143,4.68,18.9657142857,227567.073409,3.6733333333,1.57627528181,-1.5,128.6,104.79
2002,2,7,0,18.0,0,4.15329598708,-0.2373714,0.14565,0.12796768,-0.164684965,296.913428572,3.4,296.544285714,-2.26,294.5,10.7,96.4542857143,4.68,18.1471428571,294852.53021,3.6733333333,1.53161352154,-1.5,126.4,104.79
2002,2,8,0,8.0,0,2.68850463997,-0.2373714,0.1224333,0.12796768,-0.164684965,296.913428572,3.4,296.137142857,-2.26,294.1,12.96,96.4542857143,4.68,17.69,199893.757949,3.6733333333,1.58319250705,-1.5,126.4,104.79
2002,2,9,0,7.0,0,2.47320159055,-0.2373714,0.1224333,0.12796768,-0.164684965,296.899428572,3.4,296.137142857,-2.04,294.5,12.96,96.8992857142,4.68,17.69,95826.5718317,3.6733333333,1.6774837963,-1.5,124.9,56.93
2002,3,10,0,10.0,0,3.06387956889,-0.2373714,0.1224333,0.12796768,-0.164684965,296.899428572,3.4,296.514285714,-2.04,294.5,12.96,96.8992857142,4.68,18.1257142857,84166.555399,3.6733333333,1.7510462963,-1.5,124.9,56.93
2002,3,11,0,7.0,0,2.47320159055,-0.2373714,0.1224333,0.12796768,-0.151461425,296.899428572,3.4,296.514285714,-2.04,294.1,12.96,96.8992857142,4.68,18.1257142857,151545.792371,3.6733333333,1.73645216888,-1.5,125.7,56.93
2002,3,12,1,10.0,1,3.06387956889,-0.2373714,0.1224333,0.12796768,-0.151461425,296.899428572,3.4,296.544285714,-2.26,294.1,15.21,95.6614285714,4.68,18.1471428571,215420.465189,3.6733333333,1.52590958132,-1.16,125.5,71.15
2002,3,13,0,5.0,0,1.95999621746,-0.2373714,0.1224333,0.12796768,-0.151461425,296.497428571,3.4,296.544285714,-2.26,294.1,15.21,97.8071428571,4.68,18.1471428571,123097.40868,3.6733333333,1.43984866647,-1.5,125.4,71.15
2002,4,14,1,11.0,1,3.23037046514,-0.2373714,0.1224333,0.109648596,-0.151461425,296.497428571,3.4,296.698571429,-2.2,294.1,12.96,98.1164285714,4.68,18.3614285714,98523.4343036,3.6733333333,1.3240998742,-1.82,124.6,71.15
2002,4,15,0,8.0,0,2.68850463997,-0.2373714,0.1224333,0.109648596,-0.16271283,296.497428571,3.4,296.698571429,-2.2,294.1,15.21,98.1164285714,4.68,18.3614285714,87146.0352563,3.6733333333,1.33781666164,-2.26,124.9,71.15
2002,4,16,1,18.0,5,4.15329598708,-0.2373714,0.1224333,0.109648596,-0.219119235,296.497428571,3.4,296.698571429,-2.2,294.4,12.96,98.1164285714,4.68,18.3614285714,65359.5264422,3.6733333333,1.55290663748,-2.26,124.2,71.15
2002,4,17,1,13.0,5,3.5314273997,-0.2373714,0.1224333,0.109648596,-0.156136395,296.497428571,3.4,296.698571429,-2.2,294.4,12.96,98.1164285714,4.68,18.3614285714,50780.0873117,3.6733333333,1.55096272142,-2.26,124.3,71.15
2002,4,18,1,9.0,5,2.88416246161,-0.2373714,0.1224333,0.109648596,-0.156136395,296.497428571,3.4,296.698571429,-2.2,294.1,12.96,98.1164285714,4.68,18.3614285714,51665.786509,3.1733333333,1.53478494364,-2.26,124.9,71.15
2002,5,19,1,22.0,5,4.56140936949,-0.2373714,0.1224333,0.109648596,-0.156136395,296.497428571,3.4,296.631428571,-2.2,294.1,14.25,97.51,37.46,18.2228571429,94441.031833,3.1733333333,1.53155698471,-2.26,125.5,71.15
2002,5,20,1,10.0,5,3.06387956889,-0.2373714,0.1096333,0.081611404,-0.184626395,296.482571428,3.4,296.631428571,-2.2,294.1,14.25,97.2435714286,37.46,18.2228571429,77646.6682045,3.1733333333,1.54561817633,-1.82,126.1,143.77
2002,5,21,0,5.0,0,1.95999621746,-0.2373714,0.1096333,0.081611404,-0.184626395,296.482571428,3.4,296.444285714,-1.88,293.9,14.25,96.2471428572,41.96,18.0242857143,128332.687727,3.1733333333,1.59627035024,-1.82,126.1,143.77
2002,5,22,1,13.0,1,3.5314273997,-0.2373714,0.1096333,0.081611404,-0.184626395,296.482571428,3.4,296.444285714,-1.88,293.9,15.21,96.2471428572,41.54,18.0242857143,146043.14357,3.1733333333,1.6326683122,-2.26,126.6,175.63
2002,6,23,0,2.0,0,0.753425355506,-0.2373714,0.1096333,0.081611404,-0.184626395,296.295142857,2.6,296.351428571,-1.12,293.9,14.25,96.2314285715,41.54,17.9357142857,174567.195049,3.1733333333,1.60042354569,-2.26,125.6,175.63
2002,6,24,1,11.0,5,3.23037046514,-0.2373714,0.1096333,0.105842876,-0.184626395,296.295142857,2.6,296.31,-0.7,293.9,15.21,96.2314285715,41.54,17.9357142857,208815.616172,3.1733333333,1.40976956019,-2.26,125.1,175.63
2002,6,25,1,11.0,5,3.23037046514,-0.2373714,0.1096333,0.11234862,-0.184626395,296.295142857,2.6,296.271428571,-0.7,293.4,15.21,96.0235714286,39.16,17.8228571429,278173.55618,3.1733333333,1.52176170994,-2.26,122.6,175.63
